,,k_temp,k_conc
EE,"Sugar cane, sugar beet",0.009780454190778227,0.0008736943887533055
EE,Plant-based fibers,0.017596806443427884,0.0007540666712496857
EE,Crops nec,0.017596806443427884,0.0007540666712496857
ES,Paddy rice,0.00455923445025021,0.0012203397290260914
ES,Wheat,-0.03325081183941256,0.0005547824663081538
ES,Cereal grains nec,-0.0014559344924722482,0.0006401358511337163
ES,"Vegetables, fruit, nuts",0.16152961880049801,0.0011652524695585711
ES,Oil seeds,0.005823932414656426,0.0013415250596791816
ES,"Sugar cane, sugar beet",-0.007601218537856225,0.001247203269329593
ES,Plant-based fibers,0.019300589726845774,0.0009732555155553741
ES,Crops nec,0.019300589726845774,0.0009732555155553741
FI,Paddy rice,0.05054031810711118,0.0011191239833619933
FI,Wheat,-0.01565790030068957,0.0007172457166566168
FI,Cereal grains nec,0.015233691174737827,0.0006695694894830468
FI,"Vegetables, fruit, nuts",0.04774199228012854,0.0008282760997533416
FI,Oil seeds,0.20444997359972422,0.0009614391773262275
FI,"Sugar cane, sugar beet",0.04229489649122779,0.0008223146891304822
FI,Plant-based fibers,0.08227708574452534,0.0007876228394252891
FI,Crops nec,0.08227708574452534,0.0007876228394252891
FR,Paddy rice,0.038617739289472125,0.0011763825374018115
FR,Wheat,0.021313016087229363,0.0005304042435169606
FR,Cereal grains nec,0.03169702551980448,0.0006140195850001882
FR,"Vegetables, fruit, nuts",0.02347707826728359,0.001049098386311349
FR,Oil seeds,0.040025703722011405,0.0011023953204526682
FR,"Sugar cane, sugar beet",0.008849393033053647,0.0010302441858100093
FR,Plant-based fibers,0.0341247789315539,0.0008553090713571687
FR,Crops nec,0.0341247789315539,0.0008553090713571687
GB,Paddy rice,0.053086902978672856,0.0010805058827975853
GB,Wheat,0.015367312517210031,0.0006514370890051977
GB,Cereal grains nec,0.05370104462674208,0.0006310814265508108
GB,"Vegetables, fruit, nuts",0.03832843314253893,0.0007613755270384982
GB,Oil seeds,0.09620146401054668,0.0009279597474554507
GB,"Sugar cane, sugar beet",0.052325742800634255,0.0007569678430949195
GB,Plant-based fibers,0.06675132353398956,0.0007471195679878105
GB,Crops nec,0.06675132353398956,0.0007471195679878105
GR,Paddy rice,-0.09375364834634357,0.0013467348050238293
GR,Wheat,0.01073113189064115,0.0004970475244097186
