,rcp26_gepic_soy_gfdl-esm2m,rcp26_gepic_soy_hadgem2-es,rcp26_gepic_soy_ipsl-cm5a-lr,rcp26_gepic_soy_miroc5,rcp26_gepic_mai_gfdl-esm2m,rcp26_gepic_mai_hadgem2-es,rcp26_gepic_mai_ipsl-cm5a-lr,rcp26_gepic_mai_miroc5,rcp26_gepic_whe_gfdl-esm2m,rcp26_gepic_whe_hadgem2-es,rcp26_gepic_whe_ipsl-cm5a-lr,rcp26_gepic_whe_miroc5,rcp26_gepic_ric_gfdl-esm2m,rcp26_gepic_ric_hadgem2-es,rcp26_gepic_ric_ipsl-cm5a-lr,rcp26_gepic_ric_miroc5,rcp26_lpjml_soy_gfdl-esm2m,rcp26_lpjml_soy_hadgem2-es,rcp26_lpjml_soy_ipsl-cm5a-lr,rcp26_lpjml_soy_miroc5,rcp26_lpjml_mai_gfdl-esm2m,rcp26_lpjml_mai_hadgem2-es,rcp26_lpjml_mai_ipsl-cm5a-lr,rcp26_lpjml_mai_miroc5,rcp26_lpjml_whe_gfdl-esm2m,rcp26_lpjml_whe_hadgem2-es,rcp26_lpjml_whe_ipsl-cm5a-lr,rcp26_lpjml_whe_miroc5,rcp26_lpjml_ric_gfdl-esm2m,rcp26_lpjml_ric_hadgem2-es,rcp26_lpjml_ric_ipsl-cm5a-lr,rcp26_lpjml_ric_miroc5,rcp26_clm45_soy_gfdl-esm2m,rcp26_clm45_mai_gfdl-esm2m,rcp60_gepic_soy_gfdl-esm2m,rcp60_gepic_soy_hadgem2-es,rcp60_gepic_soy_ipsl-cm5a-lr,rcp60_gepic_soy_miroc5,rcp60_gepic_mai_gfdl-esm2m,rcp60_gepic_mai_hadgem2-es,rcp60_gepic_mai_ipsl-cm5a-lr,rcp60_gepic_mai_miroc5,rcp60_gepic_whe_gfdl-esm2m,rcp60_gepic_whe_hadgem2-es,rcp60_gepic_whe_ipsl-cm5a-lr,rcp60_gepic_whe_miroc5,rcp60_gepic_ric_gfdl-esm2m,rcp60_gepic_ric_hadgem2-es,rcp60_gepic_ric_ipsl-cm5a-lr,rcp60_gepic_ric_miroc5,rcp60_clm45_soy_gfdl-esm2m,rcp60_clm45_mai_gfdl-esm2m
2033,-0.06894776564752689,-0.07384822881110607,-0.08942002389522373,-0.07222146562635023,-0.0365915800913036,-0.07009225967192918,-0.08550906399490599,-0.06278047224468443,-0.08517205489408133,-0.058618263419124246,-0.0525665501897899,-0.06848907066550698,-0.06456320391632597,-0.0867272480463768,-0.10247426065146263,-0.07478165132445647,-0.028481054191640296,-0.014381146817300672,-0.03174279662114677,0.006476368929271777,0.002036187134442094,-0.017960739471115872,-0.02741982167057106,-0.016711542361458828,-0.07912536586635585,-0.055335505275919135,-0.03699269240056761,-0.03987800532972457,-0.08359404896063066,-0.10916475944254067,-0.15668605278335915,-0.09769408527490593,0.04962027654134462,-0.02957246575066727,-0.10025683821929571,-0.0739731514390978,-0.09207349814892209,-0.1221589525134493,-0.07949720837708191,-0.057569237953547764,-0.05327118089329515,-0.10379230240765676,-0.07973182253826251,-0.07576670667538617,-0.07877016776027689,-0.09966604903092272,-0.13253836667936372,-0.08023374608585229,-0.0877008940154386,-0.11493375880309754,0.12947485962709435,-0.080402989563619
2034,-0.06293458121129489,-0.07243284120430486,-0.08510064689619928,-0.07941867130970094,-0.03571979453616576,-0.06983916447978762,-0.08043201114938149,-0.06510770185002397,-0.0841692041289503,-0.05922497753795964,-0.04877699657071993,-0.07643414801221622,-0.06736293204894359,-0.08637890701712565,-0.09963200412882854,-0.07879563837459531,-0.024553779532103134,-0.01332200701763878,-0.02814749370113435,-0.004662210599400488,0.006194019215200423,-0.019017285447336406,-0.027806124763306676,-0.019203178316300366,-0.08026553732708748,-0.05383212613119955,-0.0403655526873135,-0.04873092380817858,-0.0861781271176558,-0.10575837287845156,-0.15448660044442214,-0.09890341784652958,0.06085165065311474,-0.018190144526860134,-0.09012279964429276,-0.07372426865763233,-0.09837435561645352,-0.12389312358848377,-0.06535141893999573,-0.05508446576724024,-0.057855107942015656,-0.10070684731353843,-0.07420881356560838,-0.07295395614551009,-0.08547611873394821,-0.09258301840174218,-0.11305554174696655,-0.0803696247164494,-0.09151900836708558,-0.1157792438215599,0.09883111940364875,-0.08506208911343129
2035,-0.07727594731430165,-0.07064010731239485,-0.08505257019029258,-0.08264492875928131,-0.047850345269735715,-0.07091752518858252,-0.07664502112654442,-0.06715421331170097,-0.1050990266603142,-0.053771061918702734,-0.0518595038048967,-0.07789899456837394,-0.08359957202773344,-0.0851350737184338,-0.09622590021004446,-0.08221823927254154,-0.026086447154912058,-0.01195988674375214,-0.03226670515316722,-0.0038329814178899198,0.007953546531998595,-0.017942631247687458,-0.026551854447163754,-0.01876684567521147,-0.08754973955689747,-0.045851812795982126,-0.03975443166897937,-0.04699438684854385,-0.10958037438500529,-0.10209304647645767,-0.15070646525061712,-0.10472811274119437,0.06461842908201806,-0.013479325646331777,-0.10566058813243777,-0.07351789022826456,-0.09839703389074027,-0.12277131111333521,-0.0763948052782474,-0.05755430635357198,-0.05638394151091528,-0.09967791869631348,-0.08367788480615598,-0.06896490990527271,-0.08307829943249326,-0.08717378330469219,-0.1247986731920929,-0.08305904985573355,-0.08778988155954018,-0.11632561855413238,0.102224825708235,-0.08220540299465298
2036,-0.08730555404708278,-0.07564636824047845,-0.08436547597582623,-0.07879199983546303,-0.06295241483780209,-0.0716766065145514,-0.07374257209050862,-0.06423508242458247,-0.10249780804262999,-0.05182759942560201,-0.047363870797145616,-0.07161346460244568,-0.09763316498545077,-0.08966347233043549,-0.09648403646835697,-0.07889317499959153,-0.04267769370278137,-0.018504372918127683,-0.031081823052083738,0.0040187559138879165,-0.015310208356170744,-0.02118326958886892,-0.024893317455358662,-0.014596692448915361,-0.08398847435659718,-0.03993846513968505,-0.03591400207970593,-0.03940003166653641,-0.12922105865481573,-0.10539442715348685,-0.14615430551960742,-0.09990099362089797,0.04537522284091354,-0.024747417889060697,-0.10213733570945162,-0.071927615972978,-0.09427866707163676,-0.11406868134635367,-0.07383364534366098,-0.05367093901972978,-0.05779447203500573,-0.08551656164651643,-0.07027968594163572,-0.07048363033817936,-0.07919431351036899,-0.0827459650483429,-0.11899018542851027,-0.07910669855838684,-0.08683474244417103,-0.10277133020703691,0.11620634120152686,-0.0864462817862967
2037,-0.09773740177776416,-0.07786136556128313,-0.08573041818596785,-0.07443896537623852,-0.0677536768888703,-0.06954587018935167,-0.07354672507307888,-0.06353493066787123,-0.11373609643364406,-0.05364840158626467,-0.046597584671182135,-0.0582352855055544,-0.10709376716331456,-0.08687535802307267,-0.09737452567436643,-0.07677618620083128,-0.04915419222218384,-0.014271811491167654,-0.03195121645099799,0.012857676585603257,-0.013882521367112077,-0.017529510204761418,-0.026300970055976557,-0.013400187404121439,-0.0940773262327071,-0.037922444940670194,-0.03593803250987879,-0.029493850566064225,-0.13176557364451952,-0.10228495623293292,-0.14647952231371228,-0.09826511997772171,0.03305960986296712,-0.030972679498204782,-0.09658932431795703,-0.07636647827704769,-0.09057436723632295,-0.11395047198877116,-0.07116116748773176,-0.054396755165308494,-0.056186645530969026,-0.0844739905593761,-0.06890629691141567,-0.06964311482492178,-0.07734802957035479,-0.08789982582894353,-0.11572090379297104,-0.08033955652506689,-0.08291470267924568,-0.10589734741335521,0.11935846847886876,-0.07503659438365703
2038,-0.10584050168648663,-0.07523446096655655,-0.08322446479179153,-0.071440550340035,-0.0698851406416463,-0.07091331739125273,-0.07106223063714184,-0.059629470720118365,-0.12979794689297366,-0.05025018250365869,-0.043309012156692694,-0.05265144928301261,-0.10704719932244725,-0.0855542886925481,-0.09262248838272531,-0.07706364974285602,-0.0528420765171456,-0.010470405548491518,-0.031537366818953506,0.011656439206949384,-0.010262632509709135,-0.018999677378537964,-0.027798429991668826,-0.010426396767529563,-0.10429969351656841,-0.03249472464019115,-0.033765974652590194,-0.026351210458860914,-0.1271736942516515,-0.10141775610359696,-0.13969321367309676,-0.09566355812889071,0.05307605618045941,-0.02505012318594244,-0.09488110345374201,-0.07470497385075513,-0.08435047217520393,-0.11886887455542021,-0.0724548599930462,-0.051997234153033325,-0.05315384384794364,-0.08576273665035541,-0.07439774012125548,-0.06877196180668028,-0.06854399293116427,-0.09574301120001592,-0.11494766811352944,-0.07869400880676432,-0.07897739372294156,-0.10599365385804886,0.10487691403849628,-0.06998609987924552
2039,-0.09514936462416877,-0.07108779011174193,-0.08400829529218316,-0.07338288943516594,-0.07325085679844309,-0.06602231150916879,-0.06868098253216791,-0.05817506132312706,-0.12118886538750023,-0.049832753191923276,-0.04157598510052431,-0.05337128428836352,-0.10754751647175725,-0.08014230684910013,-0.08970850905675028,-0.07897027599012534,-0.05399651519670565,-0.008055365709803879,-0.02840356869256335,0.005946645292990449,-0.01136732884895805,-0.017921352071660897,-0.024328444194824817,-0.009787801402759184,-0.10333513757818176,-0.030530035114669566,-0.035554499206664765,-0.028998115943116107,-0.14836659430282914,-0.0950332353617427,-0.13580923119492963,-0.09524489975868586,0.03990634625582122,-0.03231833895543073,-0.09337945836319259,-0.07501438539654635,-0.08533464420386869,-0.11803655774009361,-0.07533275283080385,-0.05290317514458905,-0.05490166843634738,-0.08559543416273167,-0.07155645210934883,-0.06684858849764497,-0.06927227430064548,-0.09106218324826183,-0.11261980774024387,-0.0802505490458033,-0.08066281649022393,-0.1044770696702714,0.08858142518624064,-0.06519125137603168
2040,-0.07947770377305044,-0.0709524088821616,-0.08387473585426261,-0.07584181540098488,-0.0564800245355751,-0.06564545683832783,-0.06928418293275933,-0.06047148264773098,-0.11789389321515381,-0.05081991838074247,-0.042412619155710755,-0.05403154492646412,-0.0940341908202906,-0.0803839575395408,-0.08749378861476427,-0.08198296060783715,-0.032588135160742715,-0.011729179222437578,-0.028331473609342142,-0.0018085272124472149,-0.004866092106086155,-0.019405074747785644,-0.022507048348221943,-0.013260318382277205,-0.09643256449987904,-0.030632772361734294,-0.0316864338226557,-0.033285340699224904,-0.13861566212107923,-0.09529429872580149,-0.13596264345848894,-0.0992327164170446,0.02292120079808765,-0.03238967908769568,-0.09652609596071798,-0.07652441881040302,-0.08662074871342666,-0.11255160051462142,-0.07621241597402623,-0.052453831361407834,-0.05683632785084247,-0.08230763352352662,-0.07676852561216199,-0.06616555257260205,-0.06902519749186575,-0.0856621381610508,-0.11199064860554069,-0.08063707629884596,-0.0828583406176366,-0.10122434708897127,0.059224971852507254,-0.057834118428352725
2041,-0.0891124071374074,-0.07229338076175464,-0.08095312150058456,-0.08175102637457858,-0.06031540385798939,-0.06448740122975898,-0.06850199433389255,-0.061919871516589044,-0.1151842150260866,-0.05215906336508132,-0.0388361868451466,-0.06363425559444084,-0.11052628012045912,-0.08194882806706154,-0.08472498497957726,-0.08663401491048403,-0.05002625526123998,-0.008393844123208274,-0.028672232642457118,-0.006776243171817455,-0.016270453557832697,-0.017196980844841378,-0.024473754695566334,-0.0148372537829386,-0.10790559879358957,-0.030010759572247924,-0.03297949341339883,-0.0421812241657871,-0.16054505994003096,-0.09209589202694897,-0.13251602732048054,-0.102638196474908,0.05473891048892427,-0.03125653983565452,-0.09760226113130797,-0.07670230257661255,-0.08796145940067474,-0.10783468769163444,-0.0751848038181795,-0.052949949744357114,-0.06007645643310893,-0.08008595823728125,-0.07866274120213823,-0.06331028326755449,-0.07026929439808384,-0.08091891879850423,-0.11403389979207386,-0.08075230084773599,-0.08651279140242518,-0.10115455377745466,0.061071923692057155,-0.055126755143103855
2042,-0.0836789228646019,-0.07513213258839906,-0.07779353290640381,-0.08312764804863236,-0.0532064481892665,-0.06738752859345744,-0.06429432571933413,-0.06223609026263583,-0.09881457245007162,-0.05312610857385274,-0.03739583809095492,-0.06356036591068547,-0.10325686908243178,-0.08233398497632373,-0.08436078366040062,-0.08503935188539608,-0.0227247183922127,-0.00964055974966004,-0.02698817765551396,-0.005086267207719249,0.0016655971660054993,-0.01900136789455658,-0.022442390010954428,-0.014414899716133377,-0.08914594905393322,-0.03195881398123173,-0.03250866271796931,-0.04229577866683985,-0.14515220750328542,-0.09534135309839127,-0.1288719659412304,-0.10308782561501134,0.10014256163518423,-0.027607228633038702,-0.10292234650407397,-0.07662719039155107,-0.08674173925248402,-0.1057065413350494,-0.0843885838939884,-0.051961329779472966,-0.059637903286713846,-0.078407688719206,-0.08042114228583085,-0.06177324184268208,-0.06820981425062039,-0.0810644199265051,-0.12173300054120988,-0.08189687428644069,-0.08597018099606157,-0.09915810782237411,0.060973415064751624,-0.0579162110346242
