,year,temp
0,2006,287.55524
1,2007,287.5785
2,2008,287.77222
3,2009,287.864
4,2010,287.92557
5,2011,287.78384
6,2012,287.7648
7,2013,287.7651
8,2014,287.61783
9,2015,287.90897
10,2016,288.13004
11,2017,288.1818
12,2018,287.99423
13,2019,288.12906
14,2020,288.0429
15,2021,287.9888
16,2022,288.0534
17,2023,288.1595
18,2024,288.08386
19,2025,288.2339
20,2026,288.30588
21,2027,288.27777
22,2028,288.2989
23,2029,288.34015
24,2030,288.4272
25,2031,288.53442
26,2032,288.69244
27,2033,288.49435
28,2034,288.60153
29,2035,288.77997
30,2036,288.80798
31,2037,288.74365
32,2038,288.74478
33,2039,288.7339
34,2040,288.71222
35,2041,288.88626
36,2042,288.98428
37,2043,289.21112
38,2044,289.39752
39,2045,289.3931
40,2046,289.19717
41,2047,289.23822
42,2048,289.41296
43,2049,289.52063
44,2050,289.45728
45,2051,289.33826
46,2052,289.5074
47,2053,289.65094
48,2054,289.71582
49,2055,289.71817
50,2056,289.87576
51,2057,289.79272
52,2058,289.95627
53,2059,289.8603
54,2060,289.8505
55,2061,289.8465
56,2062,290.06625
57,2063,290.2288
58,2064,290.1629
59,2065,290.32135
60,2066,290.4234
61,2067,290.34308
62,2068,290.41205
63,2069,290.66077
64,2070,290.68518
65,2071,290.5908
66,2072,290.62894
67,2073,290.89108
68,2074,290.9466
69,2075,290.74487
70,2076,290.90735
71,2077,291.0978
72,2078,291.1178
73,2079,291.17648
74,2080,291.07892
75,2081,291.10352
76,2082,291.20242
77,2083,291.46674
78,2084,291.6886
79,2085,291.59113
80,2086,291.4896
81,2087,291.65622
82,2088,291.58865
83,2089,291.65454
84,2090,291.77576
85,2091,291.7858
86,2092,291.8984
87,2093,291.822
88,2094,291.96457
89,2095,292.13727
90,2096,292.38556
91,2097,292.38632
92,2098,292.3223
93,2099,292.43832
