,year,temp
0,2006,287.60794
1,2007,287.6528
2,2008,287.5838
3,2009,287.66714
4,2010,287.80334
5,2011,287.91608
6,2012,287.91678
7,2013,288.13507
8,2014,288.22458
9,2015,288.11542
10,2016,288.15286
11,2017,288.20944
12,2018,288.12964
13,2019,288.07153
14,2020,288.301
15,2021,288.5401
16,2022,288.50085
17,2023,288.55786
18,2024,288.59726
19,2025,288.4866
20,2026,288.54114
21,2027,288.41058
22,2028,288.46872
23,2029,288.4789
24,2030,288.67496
25,2031,288.5218
26,2032,288.56082
27,2033,288.6595
28,2034,288.7681
29,2035,288.5596
30,2036,288.56616
31,2037,288.56326
32,2038,288.55133
33,2039,288.6835
34,2040,288.649
35,2041,288.74487
36,2042,288.6477
37,2043,288.76834
38,2044,288.73184
39,2045,288.7144
40,2046,288.7209
41,2047,288.739
42,2048,288.74478
43,2049,288.8175
44,2050,288.68506
45,2051,288.72345
46,2052,288.5459
47,2053,288.60938
48,2054,288.72165
49,2055,288.72375
50,2056,288.6209
51,2057,288.70355
52,2058,288.8184
53,2059,288.72476
54,2060,288.79498
55,2061,288.7652
56,2062,288.7099
57,2063,288.747
58,2064,288.91122
59,2065,288.86172
60,2066,288.96204
61,2067,288.96893
62,2068,288.90527
63,2069,288.75867
64,2070,288.70416
65,2071,288.6861
66,2072,288.61664
67,2073,288.624
68,2074,288.79675
69,2075,288.78763
70,2076,288.6839
71,2077,288.68787
72,2078,288.68033
73,2079,288.70755
74,2080,288.7026
75,2081,288.64447
76,2082,288.79468
77,2083,288.7388
78,2084,288.69705
79,2085,288.6242
80,2086,288.64578
81,2087,288.48837
82,2088,288.48526
83,2089,288.50305
84,2090,288.5619
85,2091,288.62094
86,2092,288.6361
87,2093,288.74625
88,2094,288.7898
89,2095,288.5784
90,2096,288.51892
91,2097,288.64853
92,2098,288.8196
93,2099,288.70923
