,year,temp
0,2006,287.67535
1,2007,287.69687
2,2008,287.73102
3,2009,287.5162
4,2010,287.6273
5,2011,287.68277
6,2012,287.67526
7,2013,287.57825
8,2014,287.7699
9,2015,287.8041
10,2016,287.69925
11,2017,287.71567
12,2018,287.8728
13,2019,287.8556
14,2020,287.85138
15,2021,287.97992
16,2022,287.78476
17,2023,287.83588
18,2024,287.81546
19,2025,287.8824
20,2026,288.03085
21,2027,287.83447
22,2028,287.94504
23,2029,287.96857
24,2030,288.08307
25,2031,288.16656
26,2032,287.77603
27,2033,287.88202
28,2034,288.0602
29,2035,288.18958
30,2036,287.85483
31,2037,287.82602
32,2038,287.9267
33,2039,287.888
34,2040,287.9816
35,2041,288.16156
36,2042,287.89227
37,2043,287.7205
38,2044,287.86542
39,2045,287.89386
40,2046,287.95926
41,2047,288.14243
42,2048,288.11768
43,2049,287.9392
44,2050,287.87167
45,2051,287.85153
46,2052,288.0671
47,2053,288.0715
48,2054,288.07565
49,2055,287.9842
50,2056,288.10666
51,2057,288.0019
52,2058,287.8607
53,2059,287.9584
54,2060,287.88138
55,2061,287.84576
56,2062,288.02124
57,2063,287.81302
58,2064,287.94324
59,2065,288.03983
60,2066,287.90842
61,2067,287.9754
62,2068,287.9771
63,2069,288.17996
64,2070,288.38583
65,2071,288.34033
66,2072,287.94852
67,2073,288.0588
68,2074,288.04474
69,2075,287.98438
70,2076,288.11264
71,2077,288.10715
72,2078,287.9467
73,2079,287.93674
74,2080,287.8739
75,2081,287.79462
76,2082,287.98334
77,2083,288.01468
78,2084,287.89212
79,2085,287.92752
80,2086,287.97824
81,2087,288.0352
82,2088,287.94742
83,2089,288.21597
84,2090,288.0509
85,2091,287.83917
86,2092,287.92572
87,2093,288.0813
88,2094,288.07135
89,2095,288.05298
90,2096,288.08716
91,2097,288.06375
92,2098,287.83374
93,2099,288.0216
