,year,temp
0,2006,287.6592
1,2007,287.78406
2,2008,287.8461
3,2009,287.89996
4,2010,287.9122
5,2011,287.8616
6,2012,288.01154
7,2013,288.0205
8,2014,288.05374
9,2015,287.99188
10,2016,287.99402
11,2017,287.9909
12,2018,288.13968
13,2019,288.08374
14,2020,287.97644
15,2021,288.08395
16,2022,288.2268
17,2023,288.25513
18,2024,288.26343
19,2025,288.25067
20,2026,288.34546
21,2027,288.46857
22,2028,288.4311
23,2029,288.30798
24,2030,288.28476
25,2031,288.17313
26,2032,288.46362
27,2033,288.5644
28,2034,288.51855
29,2035,288.49347
30,2036,288.45203
31,2037,288.5058
32,2038,288.45346
33,2039,288.4727
34,2040,288.6795
35,2041,288.6716
36,2042,288.77618
37,2043,288.85538
38,2044,288.94504
39,2045,288.75534
40,2046,288.73898
41,2047,288.89066
42,2048,288.86838
43,2049,288.84024
44,2050,288.87122
45,2051,288.9229
46,2052,288.9502
47,2053,288.992
48,2054,289.16113
49,2055,289.14844
50,2056,289.0486
51,2057,288.9546
52,2058,289.11868
53,2059,289.07773
54,2060,289.19458
55,2061,289.26755
56,2062,289.19653
57,2063,289.34296
58,2064,289.62695
59,2065,289.66074
60,2066,289.68652
61,2067,289.69296
62,2068,289.8353
63,2069,289.8528
64,2070,289.7197
65,2071,289.73038
66,2072,289.8259
67,2073,289.76752
68,2074,289.97464
69,2075,289.87708
70,2076,289.88364
71,2077,289.9896
72,2078,289.9926
73,2079,290.05414
74,2080,290.17944
75,2081,290.23422
76,2082,290.32135
77,2083,290.2887
78,2084,290.19095
79,2085,290.16437
80,2086,290.24088
81,2087,290.2832
82,2088,290.36993
83,2089,290.37994
84,2090,290.24588
85,2091,290.31558
86,2092,290.4081
87,2093,290.53223
88,2094,290.64398
89,2095,290.6155
90,2096,290.4217
91,2097,290.4962
92,2098,290.53757
93,2099,290.51254
