,year,temp
0,2006,287.54865
1,2007,287.5219
2,2008,287.59467
3,2009,287.70416
4,2010,287.6616
5,2011,287.6995
6,2012,287.6658
7,2013,287.7669
8,2014,287.86526
9,2015,288.08554
10,2016,288.1409
11,2017,287.89917
12,2018,287.55655
13,2019,287.66217
14,2020,287.6723
15,2021,287.81723
16,2022,288.05093
17,2023,288.16702
18,2024,287.81464
19,2025,287.7183
20,2026,287.8916
21,2027,288.1582
22,2028,288.3201
23,2029,288.31708
24,2030,287.81018
25,2031,287.7022
26,2032,287.87796
27,2033,287.96628
28,2034,287.99942
29,2035,288.23053
30,2036,288.32083
31,2037,288.19598
32,2038,288.1287
33,2039,288.21732
34,2040,288.3557
35,2041,288.69925
36,2042,288.30618
37,2043,288.08096
38,2044,288.17642
39,2045,288.16205
40,2046,288.32678
41,2047,288.48233
42,2048,288.62524
43,2049,288.1578
44,2050,288.0845
45,2051,288.23602
46,2052,288.4337
47,2053,288.44193
48,2054,288.45132
49,2055,288.4252
50,2056,288.6438
51,2057,288.38516
52,2058,288.09335
53,2059,288.2011
54,2060,288.38837
55,2061,288.48413
56,2062,288.37817
57,2063,288.2753
58,2064,288.28726
59,2065,288.53802
60,2066,288.61838
61,2067,288.23672
62,2068,288.13812
63,2069,288.2279
64,2070,288.50345
65,2071,288.41196
66,2072,288.2924
67,2073,288.34045
68,2074,288.45914
69,2075,288.59494
70,2076,288.58182
71,2077,288.2994
72,2078,288.172
73,2079,288.2008
74,2080,288.35568
75,2081,288.33832
76,2082,288.40213
77,2083,288.559
78,2084,288.43585
79,2085,288.27728
80,2086,288.2149
81,2087,288.4031
82,2088,288.5101
83,2089,288.29327
84,2090,288.1892
85,2091,288.2912
86,2092,288.45615
87,2093,288.39172
88,2094,288.31857
89,2095,288.37885
90,2096,288.30856
91,2097,288.3189
92,2098,288.30655
93,2099,288.24573
