,year,temp
0,2006,287.63654
1,2007,287.5816
2,2008,287.64383
3,2009,287.82422
4,2010,287.73242
5,2011,287.74936
6,2012,287.83328
7,2013,287.88803
8,2014,287.87967
9,2015,287.8924
10,2016,288.0171
11,2017,288.08954
12,2018,288.19647
13,2019,287.959
14,2020,287.9026
15,2021,287.9974
16,2022,288.22507
17,2023,288.3364
18,2024,288.2397
19,2025,288.1996
20,2026,288.21893
21,2027,288.346
22,2028,288.17813
23,2029,288.1988
24,2030,288.20743
25,2031,288.28116
26,2032,288.37494
27,2033,288.42737
28,2034,288.17508
29,2035,288.14142
30,2036,288.26987
31,2037,288.14294
32,2038,288.44952
33,2039,288.67657
34,2040,288.4834
35,2041,288.4284
36,2042,288.46704
37,2043,288.4584
38,2044,288.45572
39,2045,288.4835
40,2046,288.5426
41,2047,288.39365
42,2048,288.50168
43,2049,288.5798
44,2050,288.52182
45,2051,288.3803
46,2052,288.54636
47,2053,288.52325
48,2054,288.66983
49,2055,288.611
50,2056,288.45258
51,2057,288.48352
52,2058,288.43265
53,2059,288.39957
54,2060,288.4384
55,2061,288.57056
56,2062,288.6831
57,2063,288.49167
58,2064,288.52362
59,2065,288.67355
60,2066,288.61032
61,2067,288.61127
62,2068,288.57047
63,2069,288.5806
64,2070,288.59344
65,2071,288.5727
66,2072,288.56873
67,2073,288.65292
68,2074,288.40057
69,2075,288.6458
70,2076,288.62967
71,2077,288.38818
72,2078,288.54803
73,2079,288.54337
74,2080,288.49542
75,2081,288.43057
76,2082,288.6909
77,2083,288.7627
78,2084,288.6228
79,2085,288.6766
80,2086,288.67963
81,2087,288.69278
82,2088,288.6817
83,2089,288.51294
84,2090,288.5457
85,2091,288.595
86,2092,288.7113
87,2093,288.57852
88,2094,288.6375
89,2095,288.5315
90,2096,288.50244
91,2097,288.62726
92,2098,288.4511
93,2099,288.5011
