,year,temp
0,2006,287.63715
1,2007,287.72675
2,2008,287.43246
3,2009,287.51544
4,2010,287.55084
5,2011,287.763
6,2012,287.84705
7,2013,287.62363
8,2014,287.70065
9,2015,287.54443
10,2016,287.60535
11,2017,287.7754
12,2018,287.75015
13,2019,287.9219
14,2020,287.65884
15,2021,287.69235
16,2022,287.72787
17,2023,287.88123
18,2024,287.9663
19,2025,287.86057
20,2026,287.92563
21,2027,288.0322
22,2028,288.04254
23,2029,287.66983
24,2030,287.70428
25,2031,287.91763
26,2032,287.96722
27,2033,287.90466
28,2034,288.099
29,2035,287.89584
30,2036,287.81158
31,2037,287.9506
32,2038,288.1049
33,2039,288.19327
34,2040,287.80777
35,2041,288.0196
36,2042,288.19156
37,2043,288.02548
38,2044,288.025
39,2045,288.11475
40,2046,288.04114
41,2047,288.18066
42,2048,287.91666
43,2049,287.95602
44,2050,287.97845
45,2051,287.98694
46,2052,288.07272
47,2053,288.07523
48,2054,288.13034
49,2055,288.24817
50,2056,288.10614
51,2057,287.98953
52,2058,288.27548
53,2059,288.29745
54,2060,288.23135
55,2061,288.28226
56,2062,288.4271
57,2063,288.4715
58,2064,288.30066
59,2065,288.39
60,2066,288.4186
61,2067,288.48328
62,2068,288.7188
63,2069,288.5063
64,2070,288.5396
65,2071,288.68817
66,2072,288.68878
67,2073,288.73718
68,2074,288.62012
69,2075,288.68692
70,2076,288.78574
71,2077,288.74698
72,2078,288.82422
73,2079,288.90436
74,2080,288.95425
75,2081,288.8324
76,2082,288.83844
77,2083,288.97305
78,2084,288.92502
79,2085,288.8688
80,2086,288.96008
81,2087,288.8398
82,2088,288.74243
83,2089,289.056
84,2090,289.17508
85,2091,288.93335
86,2092,288.99335
87,2093,289.07498
88,2094,289.07635
89,2095,289.04208
90,2096,289.07382
91,2097,289.13724
92,2098,289.1126
93,2099,289.12982
