,year,temp
0,2006,287.54944
1,2007,287.47656
2,2008,287.61148
3,2009,287.6804
4,2010,287.5164
5,2011,287.62973
6,2012,287.92526
7,2013,287.97775
8,2014,287.62704
9,2015,287.4124
10,2016,287.61078
11,2017,287.77808
12,2018,287.74817
13,2019,287.7338
14,2020,287.7137
15,2021,287.93195
16,2022,288.07236
17,2023,287.8137
18,2024,287.6681
19,2025,287.77982
20,2026,287.83267
21,2027,288.0478
22,2028,288.19382
23,2029,287.79794
24,2030,287.7081
25,2031,287.82504
26,2032,287.889
27,2033,288.12268
28,2034,288.20526
29,2035,287.81027
30,2036,287.72418
31,2037,287.89502
32,2038,288.1163
33,2039,288.21402
34,2040,287.97507
35,2041,287.9532
36,2042,288.01974
37,2043,288.34967
38,2044,288.53036
39,2045,288.1026
40,2046,287.93954
41,2047,288.0963
42,2048,288.32056
43,2049,288.53116
44,2050,288.34918
45,2051,288.27075
46,2052,288.28568
47,2053,288.4152
48,2054,288.48077
49,2055,288.30707
50,2056,288.23254
51,2057,288.3532
52,2058,288.3419
53,2059,288.29556
54,2060,288.26834
55,2061,288.55777
56,2062,288.81708
57,2063,288.52673
58,2064,288.46622
59,2065,288.48682
60,2066,288.614
61,2067,288.9265
62,2068,288.8024
63,2069,288.56747
64,2070,288.676
65,2071,288.82196
66,2072,288.9554
67,2073,288.97836
68,2074,289.12143
69,2075,289.08023
70,2076,288.8408
71,2077,288.77777
72,2078,288.925
73,2079,289.2231
74,2080,289.324
75,2081,289.1114
76,2082,288.93674
77,2083,289.18082
78,2084,289.43997
79,2085,289.56952
80,2086,289.19244
81,2087,289.0295
82,2088,289.22107
83,2089,289.38522
84,2090,289.47058
85,2091,289.66248
86,2092,289.44983
87,2093,289.11105
88,2094,289.19852
89,2095,289.4537
90,2096,289.54703
91,2097,289.16544
92,2098,289.19528
93,2099,289.28452
