,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,-0.011826930428050974,0.054816781375596244,0.03422324994490635,0.08368338472569817,0.03958494127709594,0.23666186145150092,0.16209849177316557,0.05915864325959399
rcp26,soy,0.027613700982351372,0.015164050177854835,0.044947605225112736,0.06449128858851642,0.03975623386736627,0.4462546457078651,0.33003137924662024,0.1257200774020653
rcp26,ric,0.011682327115650233,0.10398080169581808,0.050592717990808535,0.06355341446346205,,,,
rcp26,whe,0.14645328270678265,0.12647697959821713,0.004933937487515963,0.020045251984276497,0.1429767444381233,0.001291614505893134,-0.0573856760833987,-0.07852777532228758
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,0.023481748529022184,0.4662185274639651,0.3272399552547401,0.15296297855055402
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.25970941056805774,0.014308568880332455,-0.0449468889194491,0.05295426891905247
rcp26,rap,-,-,-,-,0.10685015031882593,0.024390802296219333,-0.021918242466495586,0.044910096717114385
rcp26,sgb,-,-,-,-,0.30132310391423944,0.05258261293156699,0.00134076648502406,0.08576484162837436
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.06451081013373583,0.24543038718673088,0.16243585570923463,0.08774006918029574
rcp60,mai,0.024650244321329676,-0.017410083953382838,0.0007972555317676239,0.03428987266012002,-,-,-,-
rcp60,soy,0.030350673704099027,-0.03023583485606623,0.000607404362300918,0.025351924135839452,-,-,-,-
rcp60,ric,0.12641364143568237,-0.0055983052763548865,0.023653588122987023,0.08738894752933356,-,-,-,-
rcp60,whe,-0.052252984844065195,0.003907292499447913,-0.005021449087584516,0.022618196299136615,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
