,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.00043940975715959694,0.00042784163556636433,0.00040934240089809964,0.0004479213097437609,-5.299890029313044e-07,-9.460582709909023e-07,3.463278346322181e-07,-3.2901128599419524e-07
rcp26,soy,0.0011465676636110964,0.001182597565063197,0.0011634925906515022,0.0012052546604773987,0.0008521869773234279,0.0009390246077004546,0.0009133115434379084,0.0009757641373874568
rcp26,ric,0.0011007340880074563,0.001124998296965187,0.001109819939497732,0.0011354682172886694,,,,
rcp26,whe,0.000601448884927464,0.000607447743846763,0.0006036740405263489,0.0006087184161928318,0.000620190423297149,0.000644221909151761,0.000639976086298959,0.000653293767551152
rcp26,cas,-,-,-,-,,,,
rcp26,mil,-,-,-,-,,,,
rcp26,nut,-,-,-,-,,,,
rcp26,pea,-,-,-,-,0.0007785152160822812,0.0008476210100218208,0.0008523540541554383,0.0008755938019901519
rcp26,rap,-,-,-,-,0.0007517062119183622,0.000810572606295147,0.0008195953472178403,0.0008360593560810313
rcp26,sgb,-,-,-,-,0.0008072332151476745,0.0008852011149618631,0.0008811054745641231,0.0009212377503395614
rcp26,sug,-,-,-,-,,,,
rcp26,sun,-,-,-,-,0.000937966682347675,0.0010269063007547518,0.0009833378582822486,0.0010537359377880168
rcp60,mai,0.0003471529666975785,0.00036210961241137465,0.0003333599994334991,0.0003545613730876631,-,-,-,-
rcp60,soy,0.0010041900236429336,0.0010420448939081255,0.0010200529802507966,0.0010437120832944742,-,-,-,-
rcp60,ric,0.0009725813809255947,0.0010024560048787047,0.0009868645626588057,0.0010080275098845605,-,-,-,-
rcp60,whe,0.0005271486582800589,0.0005399601703764571,0.0005404861835295576,0.0005393020019265111,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
